gene_id	colors
GRMZM2G025642	turquoise
GRMZM2G025648	salmon
GRMZM2G025659	grey
GRMZM2G025685	magenta
GRMZM2G025783	blue
GRMZM2G025812	green
GRMZM2G025855	red
GRMZM2G025860	turquoise
GRMZM2G025870	red
GRMZM2G025954	turquoise
GRMZM2G026015	turquoise
GRMZM2G026024	turquoise
GRMZM2G026085	brown
GRMZM2G026151	magenta
GRMZM2G026156	cyan
GRMZM2G026203	brown
GRMZM2G026223	blue
GRMZM2G026229	grey
GRMZM2G026470	turquoise
GRMZM2G026639	yellow
GRMZM2G026643	black
GRMZM2G026654	blue
GRMZM2G026839	lightcyan
GRMZM2G026889	red
GRMZM2G026930	blue
GRMZM2G026976	grey
GRMZM2G027021	cyan
GRMZM2G027059	blue
GRMZM2G027068	turquoise
GRMZM2G027120	grey
GRMZM2G027183	blue
GRMZM2G027238	yellow
GRMZM2G027282	brown
GRMZM2G027311	blue
GRMZM2G027344	green
GRMZM2G027484	magenta
GRMZM2G027495	turquoise
GRMZM2G027499	yellow
GRMZM2G027571	brown
GRMZM2G027627	green
GRMZM2G027663	turquoise
GRMZM2G027737	midnightblue
GRMZM2G027794	purple
GRMZM2G027825	yellow
GRMZM2G027857	green
GRMZM2G027886	blue
GRMZM2G027891	green
GRMZM2G027955	blue
GRMZM2G027983	blue
GRMZM2G028014	cyan
GRMZM2G028041	black
GRMZM2G028046	turquoise
GRMZM2G028054	lightcyan
GRMZM2G028104	turquoise
GRMZM2G028151	turquoise
GRMZM2G028216	turquoise
GRMZM2G028234	turquoise
GRMZM2G028252	green
GRMZM2G028254	turquoise
GRMZM2G028302	turquoise
GRMZM2G028307	blue
GRMZM2G028413	green
GRMZM2G028438	greenyellow
GRMZM2G028501	turquoise
GRMZM2G028521	turquoise
GRMZM2G028535	tan
GRMZM2G028643	grey
GRMZM2G028685	green
GRMZM2G028813	pink
GRMZM2G028830	turquoise
GRMZM2G028948	blue
GRMZM2G029039	green
GRMZM2G029048	red
GRMZM2G029055	blue
GRMZM2G029096	turquoise
GRMZM2G029101	turquoise
GRMZM2G029107	brown
GRMZM2G029153	turquoise
GRMZM2G029194	green
GRMZM2G029242	black
GRMZM2G029267	blue
GRMZM2G029400	magenta
GRMZM2G029486	turquoise
GRMZM2G029518	grey
GRMZM2G029537	yellow
GRMZM2G029566	turquoise
GRMZM2G029641	turquoise
GRMZM2G029692	green
GRMZM2G029720	green
GRMZM2G029815	turquoise
GRMZM2G029888	magenta
GRMZM2G029912	black
GRMZM2G029922	brown
GRMZM2G030038	magenta
GRMZM2G030122	turquoise
GRMZM2G030123	turquoise
GRMZM2G030125	blue
GRMZM2G030138	turquoise
GRMZM2G030139	blue
GRMZM2G030223	tan
GRMZM2G030240	turquoise
GRMZM2G030252	turquoise
GRMZM2G030299	turquoise
GRMZM2G030350	pink
GRMZM2G030402	black
GRMZM2G030433	turquoise
GRMZM2G030465	turquoise
GRMZM2G030571	blue
GRMZM2G030606	turquoise
GRMZM2G030636	purple
GRMZM2G030646	brown
GRMZM2G030710	turquoise
GRMZM2G030712	turquoise
GRMZM2G030713	turquoise
GRMZM2G030731	brown
GRMZM2G030744	pink
GRMZM2G030762	pink
GRMZM2G030784	red
GRMZM2G030805	yellow
GRMZM2G030831	turquoise
GRMZM2G030850	turquoise
GRMZM2G030862	turquoise
GRMZM2G030882	black
GRMZM2G031001	blue
GRMZM2G031028	turquoise
GRMZM2G031131	grey
GRMZM2G031156	blue
GRMZM2G031169	turquoise
GRMZM2G031177	turquoise
GRMZM2G031204	green
GRMZM2G031261	magenta
GRMZM2G031280	tan
GRMZM2G031329	turquoise
GRMZM2G031338	pink
GRMZM2G031461	blue
GRMZM2G031479	turquoise
GRMZM2G031528	brown
GRMZM2G031572	turquoise
GRMZM2G031580	blue
GRMZM2G031586	brown
GRMZM2G031613	turquoise
GRMZM2G031615	turquoise
GRMZM2G031620	green
GRMZM2G031724	greenyellow
GRMZM2G031733	blue
GRMZM2G031827	blue
GRMZM2G031837	pink
GRMZM2G031850	yellow
GRMZM2G031904	turquoise
GRMZM2G031925	yellow
GRMZM2G031941	red
GRMZM2G031991	turquoise
